type,microsite,url,sale,rent,datetime,agent_url
2,False,Ravenfayre Ltd Leamington Spa,0,1,2020-01-29 21:45:27.627728,https://www.rightmove.co.uk/estate-agents/agent/Ravenfayre-Ltd/Leamington-Spa-218690.html
1,False,Private Seller Richard Jonathan Evans,1,0,2020-01-29 21:45:27.779322,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Richard-Jonathan-Evans-218603.html
1,False,Private Seller Stefan Stanev,1,0,2020-01-29 21:45:28.269013,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Stefan-Stanev-218579.html
0,False,Capital Portfolio UK Birmingham,6,0,2020-01-29 21:45:28.322869,https://www.rightmove.co.uk/estate-agents/agent/Capital-Portfolio-UK/Birmingham-218576.html
1,False,Private Seller Lesley King,1,0,2020-01-29 21:45:28.352789,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Lesley-King-218606.html
0,False,Be-Rented Glasgow,0,1,2020-01-29 21:45:28.655978,https://www.rightmove.co.uk/estate-agents/agent/Be-Rented/Glasgow-218573.html
1,False,Private Seller Mr Barton,1,0,2020-01-29 21:45:28.682907,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Mr-Barton-218558.html
1,False,Colli Toscani Figline e Incisa Valdarno,24,0,2020-01-29 21:45:28.745738,https://www.rightmove.co.uk/overseas-property/estate-agents/Colli-Toscani/Figline-e-Incisa-Valdarno-218555.html
0,True,PFK Land Agency Penrith,17,0,2020-01-29 21:45:28.824528,https://www.rightmove.co.uk/estate-agents/agent/PFK-Land-Agency/Penrith-218567.html
0,False,Chancellors Witney New Homes,13,0,2020-01-29 21:45:28.854449,https://www.rightmove.co.uk/estate-agents/agent/Chancellors/Witney-New-Homes-218561.html
1,False,L.A. Mer Estates Paralimni,3,0,2020-01-29 21:45:29.087824,https://www.rightmove.co.uk/overseas-property/estate-agents/LA-Mer-Estates/Paralimni-218546.html
1,False,Private Seller Penny Caro,1,0,2020-01-29 21:45:29.134700,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Penny-Caro-218552.html
0,False,Righthaus Properties Bradford,67,13,2020-01-29 21:45:29.164619,https://www.rightmove.co.uk/estate-agents/agent/Righthaus-Properties/Bradford-218585.html
0,False,Properly London,5,0,2020-01-29 21:45:29.190550,https://www.rightmove.co.uk/estate-agents/agent/Properly/London-218600.html
1,False,Private Seller Tine von Goethem,1,0,2020-01-29 21:45:29.249393,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Tine-von-Goethem-218543.html
1,False,Private Seller D.D.,1,0,2020-01-29 21:45:29.347131,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/DD-218540.html
1,False,Del Prado Realty LLC,11,0,2020-01-29 21:45:29.824854,https://www.rightmove.co.uk/overseas-property/estate-agents/Del-Prado-Realty-LLC/Cape-Coral-218537.html
0,False,Sharman Quinney Chatteris,18,0,2020-01-29 21:45:29.986422,https://www.rightmove.co.uk/estate-agents/agent/Sharman-Quinney/Chatteris-218534.html
0,False,Chancellors Headington New Homes Lettings,0,6,2020-01-29 21:45:30.040278,https://www.rightmove.co.uk/estate-agents/agent/Chancellors/Headington-New-Homes-Lettings-218525.html
0,False,Chancellors Newbury New Homes,6,0,2020-01-29 21:45:30.069201,https://www.rightmove.co.uk/estate-agents/agent/Chancellors/Newbury-New-Homes-218522.html
1,False,Phuket Buy House Phuket,60,0,2020-01-29 21:45:30.104108,https://www.rightmove.co.uk/overseas-property/estate-agents/Phuket-Buy-House/Phuket-218531.html
1,False,Alba Property Overseas West Lothian,86,0,2020-01-29 21:45:30.280636,https://www.rightmove.co.uk/overseas-property/estate-agents/Alba-Property-Overseas/West-Lothian-218516.html
1,False,Falgas Immo Girona,98,0,2020-01-29 21:45:30.312551,https://www.rightmove.co.uk/overseas-property/estate-agents/Falgas-Immo/Girona-218528.html
0,False,Chancellors Slough New Homes Lettings,0,13,2020-01-29 21:45:30.348455,https://www.rightmove.co.uk/estate-agents/agent/Chancellors/Slough-New-Homes-Lettings-218513.html
1,False,Daark Real estate Dubai,30,0,2020-01-29 21:45:30.388348,https://www.rightmove.co.uk/overseas-property/estate-agents/Daark-Real-estate/Dubai-218519.html
1,False,Best house estate agency Lublin,9,0,2020-01-29 21:45:30.591805,https://www.rightmove.co.uk/overseas-property/estate-agents/Best-house-estate-agency/Lublin-218507.html
2,False,Easy Offices National,0,3690,2020-01-29 21:45:31.217133,https://www.rightmove.co.uk/estate-agents/agent/Easy-Offices/National-218495.html
1,False,IPP Spain (Iberian Peninsular Properties) SL Fuengirola,56,0,2020-01-29 21:45:31.466466,https://www.rightmove.co.uk/overseas-property/estate-agents/IPP-Spain-Iberian-Peninsular-Properties-SL/Fuengirola-218486.html
1,False,Ax Capital Real Estate Dubai,190,0,2020-01-29 21:45:31.519325,https://www.rightmove.co.uk/overseas-property/estate-agents/Ax-Capital-Real-Estate/Dubai-218489.html
1,False,Alpine Property Search Fleet,11,0,2020-01-29 21:45:31.545255,https://www.rightmove.co.uk/overseas-property/estate-agents/Alpine-Property-Search/Fleet-218474.html
1,False,For Sale By Sally in Spain Urb la Drova Barx,96,0,2020-01-29 21:45:31.584152,https://www.rightmove.co.uk/overseas-property/estate-agents/For-Sale-By-Sally-in-Spain/Urb-la-Drova-Barx-218477.html
1,False,Inland Villas Spain Alicante,96,0,2020-01-29 21:45:31.636013,https://www.rightmove.co.uk/overseas-property/estate-agents/Inland-Villas-Spain/Alicante-218480.html
